기간,기준년월,기초지자체,카테고리중분류명,기초지자체 검색건수
24.10~25.09,202502,파주시,쇼핑,75553
24.10~25.09,202502,파주시,숙박,17463
24.10~25.09,202502,파주시,음식,248506
24.10~25.09,202502,파주시,문화관광,45275
24.10~25.09,202502,파주시,역사관광,5852
24.10~25.09,202502,파주시,자연관광,1528
24.10~25.09,202502,파주시,체험관광,1919
24.10~25.09,202502,파주시,레저스포츠,18506
24.10~25.09,202503,파주시,기타관광,61169
24.10~25.09,202503,파주시,쇼핑,115059
24.10~25.09,202503,파주시,숙박,22469
24.10~25.09,202503,파주시,음식,319448
24.10~25.09,202503,파주시,자연관광,2551
24.10~25.09,202503,파주시,문화관광,60746
24.10~25.09,202503,파주시,역사관광,7969
24.10~25.09,202503,파주시,체험관광,2343
24.10~25.09,202503,파주시,레저스포츠,44921
24.10~25.09,202504,파주시,기타관광,58212
24.10~25.09,202504,파주시,쇼핑,89906
24.10~25.09,202504,파주시,숙박,23382
24.10~25.09,202504,파주시,음식,282057
24.10~25.09,202504,파주시,자연관광,3377
24.10~25.09,202504,파주시,문화관광,64800
24.10~25.09,202504,파주시,역사관광,8847
24.10~25.09,202504,파주시,체험관광,1896
24.10~25.09,202504,파주시,레저스포츠,55991
24.10~25.09,202501,파주시,기타관광,48141
24.10~25.09,202501,파주시,쇼핑,94074
24.10~25.09,202501,파주시,숙박,20501
24.10~25.09,202501,파주시,음식,284094
24.10~25.09,202501,파주시,문화관광,50834
24.10~25.09,202501,파주시,역사관광,8656
24.10~25.09,202501,파주시,자연관광,1967
24.10~25.09,202501,파주시,체험관광,2528
24.10~25.09,202501,파주시,레저스포츠,19029
24.10~25.09,202505,파주시,기타관광,74937
24.10~25.09,202505,파주시,문화관광,88570
24.10~25.09,202505,파주시,쇼핑,108184
24.10~25.09,202505,파주시,숙박,30096
24.10~25.09,202505,파주시,역사관광,13353
24.10~25.09,202505,파주시,음식,351927
24.10~25.09,202505,파주시,자연관광,4380
24.10~25.09,202505,파주시,체험관광,2402
24.10~25.09,202505,파주시,레저스포츠,62889
24.10~25.09,202506,파주시,기타관광,66049
24.10~25.09,202506,파주시,쇼핑,94100
24.10~25.09,202506,파주시,숙박,25074
24.10~25.09,202506,파주시,역사관광,10417
24.10~25.09,202506,파주시,음식,315321
24.10~25.09,202506,파주시,자연관광,3989
24.10~25.09,202506,파주시,문화관광,72467
24.10~25.09,202506,파주시,체험관광,2160
24.10~25.09,202506,파주시,레저스포츠,56506
24.10~25.09,202507,파주시,기타관광,52232
24.10~25.09,202507,파주시,쇼핑,74478
24.10~25.09,202507,파주시,숙박,23443
24.10~25.09,202507,파주시,역사관광,8066
24.10~25.09,202507,파주시,음식,318534
24.10~25.09,202507,파주시,문화관광,60822
24.10~25.09,202507,파주시,자연관광,3626
24.10~25.09,202507,파주시,체험관광,1702
24.10~25.09,202507,파주시,레저스포츠,52911
24.10~25.09,202508,파주시,기타관광,63016
24.10~25.09,202508,파주시,쇼핑,89629
24.10~25.09,202508,파주시,숙박,25401
24.10~25.09,202508,파주시,역사관광,9575
24.10~25.09,202508,파주시,음식,359551
24.10~25.09,202508,파주시,문화관광,77004
24.10~25.09,202508,파주시,자연관광,4834
24.10~25.09,202508,파주시,체험관광,1779
24.10~25.09,202508,파주시,레저스포츠,51968
24.10~25.09,202509,파주시,기타관광,56473
24.10~25.09,202509,파주시,쇼핑,83001
24.10~25.09,202509,파주시,숙박,22949
24.10~25.09,202509,파주시,역사관광,9690
24.10~25.09,202509,파주시,음식,285700
24.10~25.09,202509,파주시,문화관광,67686
24.10~25.09,202509,파주시,자연관광,2763
24.10~25.09,202509,파주시,체험관광,2150
24.10~25.09,202509,파주시,레저스포츠,53392
