기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
부천시 소사구,음식,549431,0.4,220742,40.2
부천시 소사구,자연관광,549431,0.4,2574,0.5
부천시 소사구,체험관광,549431,0.4,32,0.0
부천시 오정구,기타관광,408733,0.3,861,0.2
부천시 오정구,레저스포츠,408733,0.3,1708,0.4
부천시 오정구,문화관광,408733,0.3,56147,13.7
부천시 오정구,쇼핑,408733,0.3,45370,11.1
부천시 오정구,숙박,408733,0.3,15173,3.7
부천시 오정구,역사관광,408733,0.3,406,0.1
부천시 오정구,음식,408733,0.3,288122,70.5
부천시 오정구,자연관광,408733,0.3,8,0.0
부천시 오정구,체험관광,408733,0.3,938,0.2
부천시 원미구,기타관광,2023685,1.3,110139,5.4
부천시 원미구,레저스포츠,2023685,1.3,10114,0.5
부천시 원미구,문화관광,2023685,1.3,419251,20.7
부천시 원미구,쇼핑,2023685,1.3,581679,28.7
부천시 원미구,숙박,2023685,1.3,91426,4.5
