기간,기초지자체,중분류,소비액(천원) (내국인),전년동기 소비액 (내국인),소비액(천원) (외국인)
23.10~24.09,부천시 소사구,관광총소비,536671985.0,828896888.0,
23.10~24.09,부천시 오정구,관광총소비,386321038.0,579216524.0,
23.10~24.09,부천시 원미구,관광총소비,1223722709.0,1075070947.0,
23.10~24.09,성남시 분당구,관광총소비,2631677498.0,2600125962.0,
23.10~24.09,성남시 수정구,관광총소비,637490134.0,645688098.0,
23.10~24.09,성남시 중원구,관광총소비,448999691.0,468056176.0,
23.10~24.09,수원시 권선구,관광총소비,1036026161.0,1100363025.0,
23.10~24.09,수원시 영통구,관광총소비,1026842104.0,1069109410.0,
23.10~24.09,수원시 장안구,관광총소비,618519993.0,532407897.0,
23.10~24.09,수원시 팔달구,관광총소비,1323589729.0,1345030919.0,
23.10~24.09,시흥시,관광총소비,1330808476.0,1399755638.0,
23.10~24.09,안산시 단원구,관광총소비,1130031560.0,1149474902.0,
23.10~24.09,안산시 상록구,관광총소비,534080200.0,568166952.0,
23.10~24.09,안성시,관광총소비,1074177998.0,1110322313.0,
23.10~24.09,안양시 동안구,관광총소비,1215669245.0,1223157246.0,
23.10~24.09,안양시 만안구,관광총소비,423367135.0,426070144.0,
23.10~24.09,양주시,관광총소비,645266389.0,630188290.0,
23.10~24.09,양평군,관광총소비,388289282.0,389399189.0,
23.10~24.09,여주시,관광총소비,1113277910.0,1119933684.0,
23.10~24.09,연천군,관광총소비,93909224.0,92535334.0,
23.10~24.09,오산시,관광총소비,536769770.0,514517795.0,
23.10~24.09,용인시 기흥구,관광총소비,1527492787.0,1529371256.0,
23.10~24.09,용인시 수지구,관광총소비,979105083.0,999365956.0,
23.10~24.09,용인시 처인구,관광총소비,1177553638.0,1166203619.0,
23.10~24.09,의왕시,관광총소비,600971811.0,625017842.0,
23.10~24.09,의정부시,관광총소비,993704064.0,1032807787.0,
23.10~24.09,이천시,관광총소비,947855792.0,1002261700.0,
23.10~24.09,파주시,관광총소비,1335451461.0,1399765133.0,
23.10~24.09,평택시,관광총소비,1276410702.0,1347094017.0,
23.10~24.09,포천시,관광총소비,719648042.0,742778250.0,
23.10~24.09,하남시,관광총소비,1514869887.0,1555036706.0,
23.10~24.09,화성시,관광총소비,2084548636.0,2120064915.0,
24.10~25.09,가평군,관광총소비,448148399.0,469395898.0,
24.10~25.09,경기도,관광총소비,,,4176119.0
24.10~25.09,경기도,관광총소비,,,10648267.0
24.10~25.09,경기도,관광총소비,,,43995902.0
24.10~25.09,경기도,관광총소비,,,39433460.0
24.10~25.09,경기도,관광총소비,,,9988759.0
24.10~25.09,경기도,관광총소비,,,32335834.0
24.10~25.09,경기도,관광총소비,,,159900205.0
24.10~25.09,경기도,관광총소비,,,11232759.0
24.10~25.09,경기도,관광총소비,,,2625119.0
24.10~25.09,경기도,관광총소비,,,15151988.0
24.10~25.09,경기도,관광총소비,,,47115332.0
24.10~25.09,경기도,관광총소비,,,3233006.0
24.10~25.09,경기도,관광총소비,,,911070.0
