기간,기준년월,기초지자체,중분류,소비액(천원) (내국인),소비액(천원) (외국인)
22.10~23.09,202306,파주시,대형쇼핑몰,28449696.0,1357877.0
22.10~23.09,202306,파주시,레저용품쇼핑,1595083.0,13622.0
22.10~23.09,202306,파주시,렌터카,6579.0,580.0
22.10~23.09,202306,파주시,문화서비스,829903.0,1933.0
22.10~23.09,202306,파주시,뷰티,1240065.0,72006.0
22.10~23.09,202306,파주시,여행업,131189.0,1086.0
22.10~23.09,202306,파주시,육상운송,12072978.0,12548.0
22.10~23.09,202306,파주시,의료관광,288714.0,31887.0
22.10~23.09,202306,파주시,일반외식업,27551937.0,226603.0
22.10~23.09,202306,파주시,제과음료업,6507181.0,51199.0
22.10~23.09,202306,파주시,캠핑장/펜션,42765.0,2031.0
22.10~23.09,202306,파주시,호텔,53467.0,16771.0
22.10~23.09,202307,파주시,골프장,9933381.0,40997.0
22.10~23.09,202307,파주시,관광유원시설,185463.0,2066.0
22.10~23.09,202307,파주시,관광총소비,112004725.0,2177644.0
22.10~23.09,202307,파주시,기타관광쇼핑,16805757.0,391913.0
22.10~23.09,202307,파주시,기타레저,1771047.0,33151.0
22.10~23.09,202307,파주시,기타숙박,671931.0,62830.0
22.10~23.09,202307,파주시,대형쇼핑몰,29771384.0,1149755.0
22.10~23.09,202307,파주시,레저용품쇼핑,1459198.0,16390.0
22.10~23.09,202307,파주시,렌터카,37451.0,2209.0
22.10~23.09,202307,파주시,문화서비스,738674.0,2173.0
22.10~23.09,202307,파주시,뷰티,1315669.0,126063.0
22.10~23.09,202307,파주시,여행업,93880.0,19763.0
22.10~23.09,202307,파주시,육상운송,12646267.0,14318.0
22.10~23.09,202307,파주시,의료관광,229319.0,42404.0
22.10~23.09,202307,파주시,일반외식업,29228262.0,201772.0
22.10~23.09,202307,파주시,제과음료업,6993454.0,60859.0
22.10~23.09,202307,파주시,캠핑장/펜션,47499.0,92.0
22.10~23.09,202307,파주시,호텔,76090.0,10888.0
22.10~23.09,202308,파주시,골프장,8919186.0,46602.0
22.10~23.09,202308,파주시,관광유원시설,275272.0,1655.0
22.10~23.09,202308,파주시,관광총소비,111099792.0,2303840.0
